Kilometers_Driven,No_of_Owners,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage_kmpl,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Type_Manual,Body_Type_Hatchback,Body_Type_Hybrids,Body_Type_MUV,Body_Type_Minivans,Body_Type_SUV,Body_Type_Sedan,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kolkata,Manufactured_By_BMW,Manufactured_By_Chevrolet,Manufactured_By_Citroen,Manufactured_By_Datsun,Manufactured_By_Fiat,Manufactured_By_Ford,Manufactured_By_Honda,Manufactured_By_Hyundai,Manufactured_By_Isuzu,Manufactured_By_Jaguar,Manufactured_By_Jeep,Manufactured_By_Kia,Manufactured_By_Land Rover,Manufactured_By_Lexus,Manufactured_By_MG,Manufactured_By_Mahindra,Manufactured_By_Mahindra Renault,Manufactured_By_Mahindra Ssangyong,Manufactured_By_Maruti,Manufactured_By_Mercedes-Benz,Manufactured_By_Mini,Manufactured_By_Mitsubishi,Manufactured_By_Nissan,Manufactured_By_Renault,Manufactured_By_Skoda,Manufactured_By_Tata,Manufactured_By_Toyota,Manufactured_By_Volkswagen,Manufactured_By_Volvo
20000,1,2022,2900000,2022,7,2198,21.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53967,1,2016,550000,2016,5,1197,21.4,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52700,1,2011,299000,2011,5,1197,20.36,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,1,2018,750000,2018,5,1198,17.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53967,1,2016,550000,2016,5,1197,21.4,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99225,2,2014,375000,2014,5,1199,18.6,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,2,2011,265000,2011,5,1368,16.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48220,1,2020,808000,2020,5,1199,17.1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72024,1,2016,542000,2016,5,1199,18.7,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,1,2016,529000,2016,5,1198,15.5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78735,1,2017,684000,2017,5,1199,16.2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
