Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location
Petrol,90000,Automatic,3,Volkswagen,Volkswagen Polo,2013,8.5,2013,5,1197,17.2,Bangalore
Diesel,48960,Manual,2,Skoda,Skoda Rapid,2017,7.51,2017,5,1498,21.13,Bangalore
Diesel,70000,Manual,2,Hyundai,Hyundai Grand i10,2014,3.88,2014,5,1120,24.0,Bangalore
Petrol,68000,Manual,2,Hyundai,Hyundai i20,2013,4.9,2013,5,1197,18.5,Bangalore
Diesel,23017,Manual,1,Mahindra,Mahindra KUV 100,2016,4.94,2016,6,1198,25.32,Bangalore
Diesel,83000,Manual,2,Hyundai,Hyundai i20,2013,5.25,2014,5,1396,21.27,Bangalore
Diesel,92000,Automatic,2,BMW,BMW X3,2016,28.9,2016,5,1995,16.55,Bangalore
Petrol,62139,Manual,1,Maruti,Maruti Wagon R,2018,5.5,2018,5,998,20.51,Bangalore
Lpg,74000,Manual,1,Hyundai,Hyundai i10,2013,3.65,2013,5,1086,19.2,Bangalore
Petrol,26500,Automatic,2,Renault,Renault KWID,2016,4.2,2016,5,999,24.04,Bangalore
Diesel,81716,Automatic,1,Volvo,Volvo S60,2017,18.95,2017,5,1969,27.03,Bangalore
Diesel,24000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,59.9,2018,5,2987,17.0,Bangalore
Petrol,10000,Automatic,1,Mahindra,Mahindra XUV300,2022,10.5,2022,5,1197,17.0,Bangalore
Petrol,18000,Automatic,1,MG,MG Hector Plus,2021,20.75,2021,6,1451,16.56,Bangalore
Petrol,38197,Manual,1,Honda,Honda Brio,2013,3.94,2013,5,1198,19.4,Bangalore
Petrol,23000,Automatic,2,Maruti,Maruti Baleno,2017,7.25,2017,5,1197,19.56,Bangalore
Petrol,50000,Manual,1,Maruti,Maruti Alto K10,2013,2.4,2013,5,998,20.92,Bangalore
Petrol,10000,Automatic,1,Renault,Renault Kiger,2022,8.35,2022,5,999,19.03,Bangalore
Petrol,19000,Manual,1,Hyundai,Hyundai Grand i10,2019,6.95,2019,5,1197,18.9,Bangalore
Petrol,14000,Automatic,1,Kia,Kia Seltos,2020,17.25,2020,5,1353,16.5,Bangalore
Petrol,29268,Manual,1,Hyundai,Hyundai EON,2014,3.3,2014,5,814,21.1,Bangalore
Petrol,20000,Automatic,1,Volkswagen,Volkswagen Vento,2019,9.9,2019,5,1197,18.19,Bangalore
